[2025-01-27 10:30:15] INFO: Application démarrée
[2025-01-27 10:30:16] INFO: Connexion à la base de données réussie
[2025-01-27 10:30:17] INFO: Session utilisateur initialisée
[2025-01-27 10:31:22] INFO: Utilisateur admin connecté (ID: 1)
[2025-01-27 10:31:25] INFO: Accès à l'interface admin autorisé
[2025-01-27 10:32:10] INFO: Paramètres généraux mis à jour
[2025-01-27 10:32:15] INFO: Configuration email sauvegardée
[2025-01-27 10:33:05] WARNING: Tentative de connexion échouée pour IP: 192.168.1.100
[2025-01-27 10:33:10] ERROR: Échec de connexion - mot de passe incorrect
[2025-01-27 10:34:22] INFO: Cache vidé avec succès
[2025-01-27 10:35:15] INFO: Logs système consultés par l'administrateur[2025-10-15 02:19:36] INFO: Connexion réussie | User: Guest (guest) | IP: unknown | {"action":"user_login","user_id":1,"user_name":"Admin Test","success":true}
[2025-10-15 02:19:36] INFO: Connexion réussie | User: Guest (guest) | IP: unknown | {"action":"user_login","user_id":2,"user_name":"Utilisateur Test","success":true}
[2025-10-15 02:19:36] INFO: Tentative de connexion échouée | User: Guest (guest) | IP: unknown | {"action":"user_login","user_id":0,"user_name":"Unknown","success":false}
[2025-10-15 02:19:36] INFO: Activité utilisateur: Accès au dashboard | User: Guest (guest) | IP: unknown | {"action":"user_activity","user_id":1,"user_name":"Admin Test","activity":"Acc\u00e8s au dashboard","details":[]}
[2025-10-15 02:19:36] INFO: Activité utilisateur: Consultation des paramètres | User: Guest (guest) | IP: unknown | {"action":"user_activity","user_id":1,"user_name":"Admin Test","activity":"Consultation des param\u00e8tres","details":[]}
[2025-10-15 02:19:36] INFO: Activité utilisateur: Accès à la médiathèque | User: Guest (guest) | IP: unknown | {"action":"user_activity","user_id":2,"user_name":"Utilisateur Test","activity":"Acc\u00e8s \u00e0 la m\u00e9diath\u00e8que","details":[]}
[2025-10-15 02:19:36] INFO: Activité utilisateur: Lecture de vidéo: Introduction à l'IA | User: Guest (guest) | IP: unknown | {"action":"user_activity","user_id":2,"user_name":"Utilisateur Test","activity":"Lecture de vid\u00e9o: Introduction \u00e0 l'IA","details":[]}
[2025-10-15 02:19:36] INFO: Action admin: Modification des paramètres système | User: Guest (guest) | IP: unknown | {"action":"admin_action","admin_id":1,"admin_name":"Admin Test","admin_action":"Modification des param\u00e8tres syst\u00e8me","target":null}
[2025-10-15 02:19:36] INFO: Action admin: Suppression d'un utilisateur | User: Guest (guest) | IP: unknown | {"action":"admin_action","admin_id":1,"admin_name":"Admin Test","admin_action":"Suppression d'un utilisateur","target":"user_id: 3"}
[2025-10-15 02:19:36] INFO: Action admin: Validation d'un post forum | User: Guest (guest) | IP: unknown | {"action":"admin_action","admin_id":1,"admin_name":"Admin Test","admin_action":"Validation d'un post forum","target":"post_id: 15"}
[2025-10-15 02:19:37] WARNING: Événement de sécurité: Tentative de connexion avec compte désactivé | User: Guest (guest) | IP: unknown | {"action":"security_event","event":"Tentative de connexion avec compte d\u00e9sactiv\u00e9","details":{"email":"banned@test.com"}}
[2025-10-15 02:19:37] WARNING: Événement de sécurité: Tentative d'accès non autorisé | User: Guest (guest) | IP: unknown | {"action":"security_event","event":"Tentative d'acc\u00e8s non autoris\u00e9","details":{"page":"admin\/settings.php","user_id":2}}
[2025-10-15 02:19:37] WARNING: Événement de sécurité: Tentative de connexion avec mot de passe incorrect | User: Guest (guest) | IP: unknown | {"action":"security_event","event":"Tentative de connexion avec mot de passe incorrect","details":{"email":"test@example.com"}}
[2025-10-15 02:19:37] INFO: Événement système: Mise à jour de la base de données | User: Guest (guest) | IP: unknown | {"action":"system_event","event":"Mise \u00e0 jour de la base de donn\u00e9es","details":{"version":"1.2.0"}}
[2025-10-15 02:19:37] INFO: Événement système: Nettoyage du cache | User: Guest (guest) | IP: unknown | {"action":"system_event","event":"Nettoyage du cache","details":{"files_removed":15}}
[2025-10-15 02:19:37] INFO: Événement système: Sauvegarde automatique | User: Guest (guest) | IP: unknown | {"action":"system_event","event":"Sauvegarde automatique","details":{"backup_size":"2.5MB"}}
[2025-10-15 02:19:37] INFO: Information générale | User: Guest (guest) | IP: unknown | {"module":"test"}
[2025-10-15 02:19:37] WARNING: Avertissement système | User: Guest (guest) | IP: unknown | {"module":"test","issue":"M\u00e9moire faible"}
[2025-10-15 02:19:38] ERROR: Erreur critique | User: Guest (guest) | IP: unknown | {"module":"test","error_code":"DB_CONNECTION_FAILED"}
[2025-10-15 02:19:38] DEBUG: Message de débogage | User: Guest (guest) | IP: unknown | {"module":"test","debug_info":"Variable x = 42"}
[2025-10-15 02:19:45] INFO: Connexion réussie | User: Guest (guest) | IP: unknown | {"action":"user_login","user_id":1,"user_name":"Admin Test","success":true}
[2025-10-15 02:19:45] INFO: Connexion réussie | User: Guest (guest) | IP: unknown | {"action":"user_login","user_id":2,"user_name":"Utilisateur Test","success":true}
[2025-10-15 02:19:45] INFO: Tentative de connexion échouée | User: Guest (guest) | IP: unknown | {"action":"user_login","user_id":0,"user_name":"Unknown","success":false}
[2025-10-15 02:19:45] INFO: Activité utilisateur: Accès au dashboard | User: Guest (guest) | IP: unknown | {"action":"user_activity","user_id":1,"user_name":"Admin Test","activity":"Acc\u00e8s au dashboard","details":[]}
